study_ID,first_author,year,reference,data_source,age of building(s),occupancy,occupancy period,data collection period,self_selection,funding,conflict_of_interest,comparison_description,certifiaction_level,use_for_MA,use_for_MA2,CB_N,CB_EUI_mean,CB_EUI_SD,CB_total_area,CB_EUI_area_mean,CB_EUI_area_SD,NCB_N,NCB_EUI_mean,NCB_EUI_SD,NCB_total_area,NCB_EUI_area_mean,NCB_EUI_area_SD,Comments,CB_N2,NCB_N2
Newsham_2009,Newsham,2009,"Newsham, G. R., Mancini, S., & Birt, B. J. (2009). Do LEED-certified buildings save energy? Yes, but... Energy and Buildings, 41(8), 897_905. https://doi.org/10.1016/j.enbuild.2009.03.014",Table 6,NR,NR,NR,NR,NR,"Construction Engineering and Management graduate students at the University of Wisconsin-Madison, USA",NR,"LEED certified USA office buildings, pairwise-matched, non-unique paring, conservative climate zone matching",certified+,no,yes,31,66.3,25.9,,,,31,98.1,52.4,,,,"Actual total floor area of selected subsamples are unknown. The floor areas given here are derived by estimating uniform distribution of floor area within the total rated buildings, non-rated buildings and their subsamples.",7.75,7.75
Newsham_2009,,2009,"Newsham, G. R., Mancini, S., & Birt, B. J. (2009). Do LEED-certified buildings save energy? Yes, but... Energy and Buildings, 41(8), 897_905. https://doi.org/10.1016/j.enbuild.2009.03.014",Table 6,NR,NR,NR,NR,NR,"Program of Energy Research and Development, administered by Natural Resources Canada",NR,"LEED certified USA office buildings, pairwise-matched, non-unique paring, liberal climate zone matching",certified+,no,yes,35,67.8,25.1,,,,35,97,51.5,,,,"Actual total floor area of selected subsamples are unknown. The floor areas given here are derived by estimating uniform distribution of floor area within the total rated buildings, non-rated buildings and their subsamples.",8.75,8.75
Newsham_2009,,2009,"Newsham, G. R., Mancini, S., & Birt, B. J. (2009). Do LEED-certified buildings save energy? Yes, but... Energy and Buildings, 41(8), 897_905. https://doi.org/10.1016/j.enbuild.2009.03.014",Table 6,NR,NR,NR,NR,NR,NR,NR,"LEED certified USA office buildings, pairwise-matched, unique paring, conservative climate zone matching",certified+,yes,yes,21,70.2,28.2,,,,21,111.5,60.6,,,,"Actual total floor area of selected subsamples are unknown. The floor areas given here are derived by estimating uniform distribution of floor area within the total rated buildings, non-rated buildings and their subsamples.",5.25,5.25
Newsham_2009,,2009,"Newsham, G. R., Mancini, S., & Birt, B. J. (2009). Do LEED-certified buildings save energy? Yes, but... Energy and Buildings, 41(8), 897_905. https://doi.org/10.1016/j.enbuild.2009.03.014",Table 6,NR,NR,NR,NR,NR,NR,NR,"LEED certified USA office buildings, pairwise-matched, unique paring, liberal climate zone matching",certified+,no,yes,35,67.8,25.1,,,,35,86,47,,,,"Actual total floor area of selected subsamples are unknown. The floor areas given here are derived by estimating uniform distribution of floor area within the total rated buildings, non-rated buildings and their subsamples.",8.75,8.75
Oates_2012,Oates,2012,"Oates, D., & Sullivan, K. T. (2012). Postoccupancy energy consumption survey of Arizonaês Leed new construction population. Journal of Construction Engineering and Management, 138(6), 742_750. https://doi.org/10.1061/(ASCE)CO.1943-7862.0000478","Table 4, Table 5",NR,NR,NR,NR,NR,NR,NR,LEED certified USA office buildings vs. non-rated buildings from CBECS,certified,yes,yes,5,,,1448059,73.5,3.4,10,,,12208000,72.6,8.4,"imputed SD values using the values from Scofield 2009, which has similar mean values.",5,10
Scofield_2009,Scofield,2009,"Scofield, J. H. (2009). Do LEED-certified buildings save energy? Not really... Energy and Buildings, 41(12), 1386_1390. https://doi.org/10.1016/j.enbuild.2009.08.006",Table 2,NR,NR,NR,NR,NR,NR,NR,LEED certified USA office buildings vs. non-rated buildings from CBECS selected using liberal macthing with non-unique paring,certified,yes,yes,35,67.8,4.2,5303460,77.1,3.4,27,97,8.7,5196100,80.7,8.4,,35,27
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED certified+ buildings vs office buildings in New York city,certified+,yes,yes,21,98,5.9,21600000,106,6.5,953,97,2,308000000,103,1.7,,4.2,190.6
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED certified+ buildings vs US office buildings,certified+,no,yes,21,98,5.9,21600000,106,6.5,976,80,1.9,12208000000,93,2.2,,4.2,195.2
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED certified+ buildings vs US big office buildings,certified+,no,yes,21,98,5.9,21600000,106,6.5,402,100,3.4,6568000000,103,3.4,,4.2,80.4
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED certified+ buildings vs US regional office buildings,certified+,no,yes,21,98,5.9,21600000,106,6.5,84,86,8.6,1678000000,98,8.4,,4.2,16.8
